"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","3.71666666666667","3.5416666666667","3.775","3.9","4.125","4.70833333333333","5.625","6.60833333333333","6.23333333333333","6.10833333333333","5.89166666666667","6.1416666666667","6.97500000000003","5.8666666666667","6.1","5.1","5.6","6.5","6.9","5.1","5.9","6.3","7.3","8.4","7.4","7","5.3","5","5.1","4.9","4.7","4.8","3.5","5.5","4.7","4.3","3","",
"Africa Eastern and Southern","AFE","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5833333333333","8.6295833333334","8.33525","9.3291666666667","11.1583333333333","10.2504166666667","10.16125","9.97916666666666","9.97315552792944","9.03649332587059","7.9","8.09616098799755","8","7.8684416666667","8.12135381393069","9.2686364166465","8.6199031390576","7.85583333333337","7.39430807124153","8.14055109851998","7.5667509541707","8.80995110828735","8.69192042585465","9.11610637286131","9.0224385164423","8.14017129050105","6.5468201754386","7.38220964907542","7.62650238344657","",
"Afghanistan","AFG","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7595833333333","-3.085","-3.06166666666666","-3.14","-3.60166666666667","-3.27333333333334","-3.24491666666666","-2.95333333333333","-2.36666666666667","-1.92","-1.84416666666666","-1.63","1.29875","","","","","","","",
"Angola","AGO","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.333333333333","70.75","8.5","8.125","43.7241666666667","63.581774166667","48.0577691666666","48.645","69.9425","66.8948211396924","54.3196341212746","15.0104852432956","10.9424019151673","5.99552815902014","8.09270762786137","9.787272833293","12.4480088762996","13.0527610544736","12.6635675597103","12.8553065236728","13.5672422196748","10.2361858142293","9.4639071500616","13.8003469577253","12.8799653762689","13.4541664894194","12.3572465091709","13.0136243148161","10.0424174698289","",
"Albania","ALB","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0833333333333","2.25","3.8333333333334","4.35","7.175","5.4325","","8.6691666666667","13.8","11.9291666666667","6.76583333333337","5.89533593904893","5.15482698360405","7.98744912768719","7.71251764297258","8.4405242473735","6.21690032494347","5.88849892720342","6.40478651253913","6.57034595651639","5.45543806179984","5.66239940406269","6.05833333333333","6.48416666666667","5.90333333333334","5.45333333333333","5.18083333333333","5.78333333333333","5.70583333333333","5.54333333333334","5.77583333333334","5.00416666666667","",
"Andorra","AND","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.02166666666663","4.83083333333337","4.5","5.4935","5.3083333333333","5.66883333333334","4.84708333333333","4.29541666666667","4.37192133956386","5.37083333333333","5.6336292603657","5.33166666666664","5.15916666666666","4.97541666666667","4.74250000000002","4.79166666666663","4.84708333333334","5.13501647601348","","","","","","","","",
"United Arab Emirates","ARE","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39065793279438","3.4083282411034","2.0373378711235","2.2947120724049","3.5914829823368","3.7466847946883","6.9525378630482","7.5810907696508","16.5952652565272","19.9673733621434","0.0673620839581979","2.0130065072791","-0.0175007827835003","0.897421188356205","",
"Armenia","ARM","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9166666666667","34.1666666666666","28.1508333333333","23.5491666666667","11.4991666666666","13.4882646316666","11.7858333333333","11.5382141441515","13.9545454475592","13.7372678261464","12.1711329577946","10.6884140040786","11.2613821312147","10.4214641242572","10.1115419636096","10.2501693889753","8.5064304709265","7.66095822455669","5.8347220792968","5.9828802332704","3.4421711434095","5.7410489146788","5.39266669635978","4.12931133344314","3.65503785000689","3.50195095111197","3.52038219760139","3.24521114428292","4.02257380704685","",
"American Samoa","ASM","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
